timestamp	catalog	architecture	mtime_target_yr	budget_family	endpoint_ph_s_um	mtime_achieved_yr	wall_s
2026-07-27T22:12:58+00:00	hab2hi	triple_nuller_6ap	5.5	flat	138.14705637098447	5.536131	95.1
2026-07-27T22:14:23+00:00	hab2hi	triple_nuller_6ap	5.5	long_weighted	347.0934216327573	5.510494	84.9
2026-07-27T22:16:43+00:00	hab2hi	triple_nuller_6ap	5.5	short_weighted	181.38125442951102	5.553811	139.3
2026-07-27T22:18:17+00:00	hab2hi	triple_nuller_6ap	6.0	flat	394.4889462651581	6.031992	94.5
2026-07-27T22:19:44+00:00	hab2hi	triple_nuller_6ap	6.0	long_weighted	890.4653255776939	6.036832	86.7
2026-07-27T22:21:25+00:00	hab2hi	triple_nuller_6ap	6.0	short_weighted	698.0513027832254	5.993841	101.2
2026-07-27T22:22:36+00:00	hab2lo	triple_nuller_6ap	7.5	flat	129.31478179115456	7.523056	61.0
2026-07-27T22:23:37+00:00	hab2lo	triple_nuller_6ap	7.5	long_weighted	307.7524688432413	7.493667	60.5
2026-07-27T22:24:38+00:00	hab2lo	triple_nuller_6ap	7.5	short_weighted	210.33584660601232	7.488325	60.9
2026-07-27T22:26:15+00:00	hab2lo	triple_nuller_6ap	8.0	flat	221.8897170289793	7.925323	97.4
2026-07-27T22:27:28+00:00	hab2lo	triple_nuller_6ap	8.0	long_weighted	641.1505126952303	7.99218	73.0
2026-07-27T22:28:53+00:00	hab2lo	triple_nuller_6ap	8.0	short_weighted	381.0624690870012	8.028359	85.0
2026-07-27T23:16:23+00:00	hab2hi	triple_nuller_6ap	5.5	flat	138.14705637098447	5.536131	89.0
2026-07-27T23:17:42+00:00	hab2hi	triple_nuller_6ap	5.5	long_weighted	347.0934216327573	5.510494	78.5
2026-07-27T23:19:48+00:00	hab2hi	triple_nuller_6ap	5.5	short_weighted	181.38125442951102	5.553811	126.4
2026-07-27T23:21:17+00:00	hab2hi	triple_nuller_6ap	6.0	flat	394.4889462651581	6.031992	88.6
2026-07-27T23:22:41+00:00	hab2hi	triple_nuller_6ap	6.0	long_weighted	890.4653255776939	6.036832	84.7
2026-07-27T23:24:15+00:00	hab2hi	triple_nuller_6ap	6.0	short_weighted	698.0513027832254	5.993841	93.8
